month,total.total,timeRange.start,timeRange.end
2007-12-09T00:00:00.000Z,70925477,2007-12-09T00:00:00.000Z,2007-12-10T00:00:00.000Z
2007-12-10T00:00:00.000Z,300779940,2007-12-10T00:00:00.000Z,2007-12-11T00:00:00.000Z
2007-12-11T00:00:00.000Z,293995444,2007-12-11T00:00:00.000Z,2007-12-12T00:00:00.000Z
2007-12-12T00:00:00.000Z,289300347,2007-12-12T00:00:00.000Z,2007-12-13T00:00:00.000Z
2007-12-13T00:00:00.000Z,280756978,2007-12-13T00:00:00.000Z,2007-12-14T00:00:00.000Z
2007-12-14T00:00:00.000Z,257284163,2007-12-14T00:00:00.000Z,2007-12-15T00:00:00.000Z
2007-12-15T00:00:00.000Z,218550348,2007-12-15T00:00:00.000Z,2007-12-16T00:00:00.000Z
2007-12-16T00:00:00.000Z,243906204,2007-12-16T00:00:00.000Z,2007-12-17T00:00:00.000Z
2007-12-17T00:00:00.000Z,276320122,2007-12-17T00:00:00.000Z,2007-12-18T00:00:00.000Z
2007-12-18T00:00:00.000Z,271158392,2007-12-18T00:00:00.000Z,2007-12-19T00:00:00.000Z
2007-12-19T00:00:00.000Z,260863122,2007-12-19T00:00:00.000Z,2007-12-20T00:00:00.000Z
2007-12-20T00:00:00.000Z,239427158,2007-12-20T00:00:00.000Z,2007-12-21T00:00:00.000Z
2007-12-21T00:00:00.000Z,221695063,2007-12-21T00:00:00.000Z,2007-12-22T00:00:00.000Z
2007-12-22T00:00:00.000Z,202582447,2007-12-22T00:00:00.000Z,2007-12-23T00:00:00.000Z
2007-12-23T00:00:00.000Z,205255671,2007-12-23T00:00:00.000Z,2007-12-24T00:00:00.000Z
2007-12-24T00:00:00.000Z,205536796,2007-12-24T00:00:00.000Z,2007-12-25T00:00:00.000Z
2007-12-25T00:00:00.000Z,185242452,2007-12-25T00:00:00.000Z,2007-12-26T00:00:00.000Z
2007-12-26T00:00:00.000Z,221215242,2007-12-26T00:00:00.000Z,2007-12-27T00:00:00.000Z
2007-12-27T00:00:00.000Z,241787995,2007-12-27T00:00:00.000Z,2007-12-28T00:00:00.000Z
2007-12-28T00:00:00.000Z,237124619,2007-12-28T00:00:00.000Z,2007-12-29T00:00:00.000Z
2007-12-29T00:00:00.000Z,215772478,2007-12-29T00:00:00.000Z,2007-12-30T00:00:00.000Z
2007-12-30T00:00:00.000Z,223616587,2007-12-30T00:00:00.000Z,2007-12-31T00:00:00.000Z
2007-12-31T00:00:00.000Z,215083493,2007-12-31T00:00:00.000Z,2008-01-01T00:00:00.000Z
2008-01-01T00:00:00.000Z,204250202,2008-01-01T00:00:00.000Z,2008-01-02T00:00:00.000Z
2008-01-02T00:00:00.000Z,268177170,2008-01-02T00:00:00.000Z,2008-01-03T00:00:00.000Z
2008-01-03T00:00:00.000Z,276546080,2008-01-03T00:00:00.000Z,2008-01-04T00:00:00.000Z
2008-01-04T00:00:00.000Z,272193267,2008-01-04T00:00:00.000Z,2008-01-05T00:00:00.000Z
2008-01-05T00:00:00.000Z,247876292,2008-01-05T00:00:00.000Z,2008-01-06T00:00:00.000Z
2008-01-06T00:00:00.000Z,269799875,2008-01-06T00:00:00.000Z,2008-01-07T00:00:00.000Z
2008-01-07T00:00:00.000Z,302012219,2008-01-07T00:00:00.000Z,2008-01-08T00:00:00.000Z
2008-01-08T00:00:00.000Z,304751946,2008-01-08T00:00:00.000Z,2008-01-09T00:00:00.000Z
2008-01-09T00:00:00.000Z,306768474,2008-01-09T00:00:00.000Z,2008-01-10T00:00:00.000Z
2008-01-10T00:00:00.000Z,304265486,2008-01-10T00:00:00.000Z,2008-01-11T00:00:00.000Z
2008-01-11T00:00:00.000Z,292117513,2008-01-11T00:00:00.000Z,2008-01-12T00:00:00.000Z
2008-01-12T00:00:00.000Z,255243675,2008-01-12T00:00:00.000Z,2008-01-13T00:00:00.000Z
2008-01-13T00:00:00.000Z,281731154,2008-01-13T00:00:00.000Z,2008-01-14T00:00:00.000Z
2008-01-14T00:00:00.000Z,320821638,2008-01-14T00:00:00.000Z,2008-01-15T00:00:00.000Z
2008-01-15T00:00:00.000Z,323366441,2008-01-15T00:00:00.000Z,2008-01-16T00:00:00.000Z
2008-01-16T00:00:00.000Z,319195585,2008-01-16T00:00:00.000Z,2008-01-17T00:00:00.000Z
2008-01-17T00:00:00.000Z,313873468,2008-01-17T00:00:00.000Z,2008-01-18T00:00:00.000Z
2008-01-18T00:00:00.000Z,305293350,2008-01-18T00:00:00.000Z,2008-01-19T00:00:00.000Z
2008-01-19T00:00:00.000Z,267141066,2008-01-19T00:00:00.000Z,2008-01-20T00:00:00.000Z
2008-01-20T00:00:00.000Z,291680903,2008-01-20T00:00:00.000Z,2008-01-21T00:00:00.000Z
2008-01-21T00:00:00.000Z,325970646,2008-01-21T00:00:00.000Z,2008-01-22T00:00:00.000Z
2008-01-22T00:00:00.000Z,327855468,2008-01-22T00:00:00.000Z,2008-01-23T00:00:00.000Z
2008-01-23T00:00:00.000Z,330056187,2008-01-23T00:00:00.000Z,2008-01-24T00:00:00.000Z
2008-01-24T00:00:00.000Z,316039912,2008-01-24T00:00:00.000Z,2008-01-25T00:00:00.000Z
2008-01-25T00:00:00.000Z,292657723,2008-01-25T00:00:00.000Z,2008-01-26T00:00:00.000Z
2008-01-26T00:00:00.000Z,260969760,2008-01-26T00:00:00.000Z,2008-01-27T00:00:00.000Z
2008-01-27T00:00:00.000Z,281871368,2008-01-27T00:00:00.000Z,2008-01-28T00:00:00.000Z
2008-01-28T00:00:00.000Z,333063297,2008-01-28T00:00:00.000Z,2008-01-29T00:00:00.000Z
2008-01-29T00:00:00.000Z,327671378,2008-01-29T00:00:00.000Z,2008-01-30T00:00:00.000Z
2008-01-30T00:00:00.000Z,322663805,2008-01-30T00:00:00.000Z,2008-01-31T00:00:00.000Z
2008-01-31T00:00:00.000Z,308503173,2008-01-31T00:00:00.000Z,2008-02-01T00:00:00.000Z
2008-02-01T00:00:00.000Z,290457650,2008-02-01T00:00:00.000Z,2008-02-02T00:00:00.000Z
2008-02-02T00:00:00.000Z,254422610,2008-02-02T00:00:00.000Z,2008-02-03T00:00:00.000Z
2008-02-03T00:00:00.000Z,276755780,2008-02-03T00:00:00.000Z,2008-02-04T00:00:00.000Z
2008-02-04T00:00:00.000Z,312041275,2008-02-04T00:00:00.000Z,2008-02-05T00:00:00.000Z
2008-02-05T00:00:00.000Z,316082971,2008-02-05T00:00:00.000Z,2008-02-06T00:00:00.000Z
2008-02-06T00:00:00.000Z,320528256,2008-02-06T00:00:00.000Z,2008-02-07T00:00:00.000Z
2008-02-07T00:00:00.000Z,309976687,2008-02-07T00:00:00.000Z,2008-02-08T00:00:00.000Z
2008-02-08T00:00:00.000Z,287987051,2008-02-08T00:00:00.000Z,2008-02-09T00:00:00.000Z
2008-02-09T00:00:00.000Z,255783593,2008-02-09T00:00:00.000Z,2008-02-10T00:00:00.000Z
2008-02-10T00:00:00.000Z,284820261,2008-02-10T00:00:00.000Z,2008-02-11T00:00:00.000Z
2008-02-11T00:00:00.000Z,331693805,2008-02-11T00:00:00.000Z,2008-02-12T00:00:00.000Z
2008-02-12T00:00:00.000Z,330087202,2008-02-12T00:00:00.000Z,2008-02-13T00:00:00.000Z
2008-02-13T00:00:00.000Z,320126460,2008-02-13T00:00:00.000Z,2008-02-14T00:00:00.000Z
2008-02-14T00:00:00.000Z,312982911,2008-02-14T00:00:00.000Z,2008-02-15T00:00:00.000Z
2008-02-15T00:00:00.000Z,291163510,2008-02-15T00:00:00.000Z,2008-02-16T00:00:00.000Z
2008-02-16T00:00:00.000Z,254805359,2008-02-16T00:00:00.000Z,2008-02-17T00:00:00.000Z
2008-02-17T00:00:00.000Z,288441885,2008-02-17T00:00:00.000Z,2008-02-18T00:00:00.000Z
2008-02-18T00:00:00.000Z,333670702,2008-02-18T00:00:00.000Z,2008-02-19T00:00:00.000Z
2008-02-19T00:00:00.000Z,335209565,2008-02-19T00:00:00.000Z,2008-02-20T00:00:00.000Z
2008-02-20T00:00:00.000Z,325251416,2008-02-20T00:00:00.000Z,2008-02-21T00:00:00.000Z
2008-02-21T00:00:00.000Z,328402854,2008-02-21T00:00:00.000Z,2008-02-22T00:00:00.000Z
2008-02-22T00:00:00.000Z,302424546,2008-02-22T00:00:00.000Z,2008-02-23T00:00:00.000Z
2008-02-23T00:00:00.000Z,261177923,2008-02-23T00:00:00.000Z,2008-02-24T00:00:00.000Z
2008-02-24T00:00:00.000Z,293303371,2008-02-24T00:00:00.000Z,2008-02-25T00:00:00.000Z
2008-02-25T00:00:00.000Z,340556518,2008-02-25T00:00:00.000Z,2008-02-26T00:00:00.000Z
2008-02-26T00:00:00.000Z,336790278,2008-02-26T00:00:00.000Z,2008-02-27T00:00:00.000Z
2008-02-27T00:00:00.000Z,330973409,2008-02-27T00:00:00.000Z,2008-02-28T00:00:00.000Z
2008-02-28T00:00:00.000Z,322928979,2008-02-28T00:00:00.000Z,2008-02-29T00:00:00.000Z
2008-02-29T00:00:00.000Z,294441326,2008-02-29T00:00:00.000Z,2008-03-01T00:00:00.000Z
2008-03-01T00:00:00.000Z,261314662,2008-03-01T00:00:00.000Z,2008-03-02T00:00:00.000Z
2008-03-02T00:00:00.000Z,301286584,2008-03-02T00:00:00.000Z,2008-03-03T00:00:00.000Z
2008-03-03T00:00:00.000Z,211077766,2008-03-03T00:00:00.000Z,2008-03-04T00:00:00.000Z
2008-03-04T00:00:00.000Z,130506184,2008-03-04T00:00:00.000Z,2008-03-05T00:00:00.000Z
2008-03-05T00:00:00.000Z,331715156,2008-03-05T00:00:00.000Z,2008-03-06T00:00:00.000Z
2008-03-06T00:00:00.000Z,322522119,2008-03-06T00:00:00.000Z,2008-03-07T00:00:00.000Z
2008-03-07T00:00:00.000Z,296057858,2008-03-07T00:00:00.000Z,2008-03-08T00:00:00.000Z
2008-03-08T00:00:00.000Z,264928401,2008-03-08T00:00:00.000Z,2008-03-09T00:00:00.000Z
2008-03-09T00:00:00.000Z,294242756,2008-03-09T00:00:00.000Z,2008-03-10T00:00:00.000Z
2008-03-10T00:00:00.000Z,342079514,2008-03-10T00:00:00.000Z,2008-03-11T00:00:00.000Z
2008-03-11T00:00:00.000Z,341967792,2008-03-11T00:00:00.000Z,2008-03-12T00:00:00.000Z
2008-03-12T00:00:00.000Z,339179490,2008-03-12T00:00:00.000Z,2008-03-13T00:00:00.000Z
2008-03-13T00:00:00.000Z,331828132,2008-03-13T00:00:00.000Z,2008-03-14T00:00:00.000Z
2008-03-14T00:00:00.000Z,302902006,2008-03-14T00:00:00.000Z,2008-03-15T00:00:00.000Z
2008-03-15T00:00:00.000Z,263386567,2008-03-15T00:00:00.000Z,2008-03-16T00:00:00.000Z
2008-03-16T00:00:00.000Z,293983154,2008-03-16T00:00:00.000Z,2008-03-17T00:00:00.000Z
2008-03-17T00:00:00.000Z,342458821,2008-03-17T00:00:00.000Z,2008-03-18T00:00:00.000Z
2008-03-18T00:00:00.000Z,315689653,2008-03-18T00:00:00.000Z,2008-03-19T00:00:00.000Z
2008-03-19T00:00:00.000Z,309866694,2008-03-19T00:00:00.000Z,2008-03-20T00:00:00.000Z
2008-03-20T00:00:00.000Z,292690065,2008-03-20T00:00:00.000Z,2008-03-21T00:00:00.000Z
2008-03-21T00:00:00.000Z,275036699,2008-03-21T00:00:00.000Z,2008-03-22T00:00:00.000Z
2008-03-22T00:00:00.000Z,253559492,2008-03-22T00:00:00.000Z,2008-03-23T00:00:00.000Z
